Affection_Status,Analyte_Type,AssemblyName,BioProject,BioSample,Body_Site,CenterName,Consent,Disease,Experiment,Histological_Type,InsertDev,InsertSize,LibraryLayout,LibraryName,LibrarySelection,LibrarySource,LibraryStrategy,LoadDate,Model,Platform,ProjectID,ReadHash,ReleaseDate,Run,RunHash,SRAStudy,Sample,SampleName,SampleType,ScientificName,Sex,Study_Pubmed_id,Subject_ID,Submission,TaxID,Tumor,avgLength,bases,dbgap_study_accession,download_path,g1k_analysis_group,g1k_pop_code,size_MB,source,spots,spots_with_mates
,,,PRJNA244942,SAMN02730069,,ODENSE UNIVERSITY HOSPITAL,public,,SRX5679278,,0,0,PAIRED,180319_M02321_0056_000000000-BBJ65,RANDOM,GENOMIC,WGS,2019-04-13 15:26:14,Illumina MiSeq,ILLUMINA,244942,41761627D25D2B9DAADFEC3D55DFE23F,2019-05-14 11:44:56,SRR8893090,6F8D5A538D20DF9FC11686C0F39A7CA9,SRP044216,SRS656000,DCMSKEJBY0001B,simple,Bacteroides fragilis,,,,SRA873758,817,no,296,471033935,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/893/SRR8893090.sralite.1,,,263,,1588288,1588288
,,,PRJNA244942,SAMN02730069,,ODENSE UNIVERSITY HOSPITAL,public,,SRX5679278,,0,0,PAIRED,180319_M02321_0056_000000000-BBJ65,RANDOM,GENOMIC,WGS,2019-04-13 15:26:14,Illumina MiSeq,ILLUMINA,244942,41761627D25D2B9DAADFEC3D55DFE23F,2019-05-14 11:44:56,SRR8893090,6F8D5A538D20DF9FC11686C0F39A7CA9,SRP044216,SRS656000,DCMSKEJBY0001B,simple,Bacteroides fragilis,,,,SRA873758,817,no,296,471033935,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/893/SRR8893090.sralite.1,,,263,,1588288,1588288
